"Unnamed: 0","benchmark","config","gsizes","samples","devices","timeouts","notes"
"199","rodinia-3.1-nn-NearestNeighbor","","","","","",""
"202","rodinia-3.1-particlefilter-find_index_kernel","","","","","",""
"206","rodinia-3.1-pathfinder-dynproc_kernel","","","","","",""
"207","rodinia-3.1-streamcluster-memset_kernel","","","","","",""
"210","shoc-1.1.5-FFT-chk1D_512","","","","","",""
"217","shoc-1.1.5-Reduction-reduce","","","","","",""
"218","shoc-1.1.5-S3D-gr_base","","","","","",""
"219","shoc-1.1.5-S3D-qssa2_kernel","","","","","",""
"220","shoc-1.1.5-S3D-qssa_kernel","","","","","",""
"221","shoc-1.1.5-S3D-qssab_kernel","","","","","",""
"222","shoc-1.1.5-S3D-ratt10_kernel","","","","","",""
"223","shoc-1.1.5-S3D-ratt2_kernel","","","","","",""
"224","shoc-1.1.5-S3D-ratt3_kernel","","","","","",""
"225","shoc-1.1.5-S3D-ratt4_kernel","","","","","",""
"226","shoc-1.1.5-S3D-ratt5_kernel","","","","","",""
"227","shoc-1.1.5-S3D-ratt6_kernel","","","","","",""
"228","shoc-1.1.5-S3D-ratt7_kernel","","","","","",""
"229","shoc-1.1.5-S3D-ratt8_kernel","","","","","",""
"230","shoc-1.1.5-S3D-ratt9_kernel","","","","","",""
"231","shoc-1.1.5-S3D-ratt_kernel","","","","","",""
"232","shoc-1.1.5-S3D-ratx2_kernel","","","","","",""
"233","shoc-1.1.5-S3D-ratx4_kernel","","","","","",""
"234","shoc-1.1.5-S3D-ratx_kernel","","","","","",""
"235","shoc-1.1.5-S3D-ratxb_kernel","","","","","",""
"237","shoc-1.1.5-S3D-rdwdot10_kernel","","","","","",""
"238","shoc-1.1.5-S3D-rdwdot2_kernel","","","","","",""
"239","shoc-1.1.5-S3D-rdwdot3_kernel","","","","","",""
"240","shoc-1.1.5-S3D-rdwdot6_kernel","","","","","",""
"241","shoc-1.1.5-S3D-rdwdot7_kernel","","","","","",""
"242","shoc-1.1.5-S3D-rdwdot8_kernel","","","","","",""
"243","shoc-1.1.5-S3D-rdwdot9_kernel","","","","","",""
"244","shoc-1.1.5-S3D-rdwdot_kernel","","","","","",""
"246","shoc-1.1.5-Scan-reduce","","","","","",""
"249","shoc-1.1.5-Sort-reduce","","","","","",""
"251","shoc-1.1.5-Spmv-spmv_csr_scalar_kernel","","","","","",""
"256","shoc-1.1.5-Triad-Triad","","","","","",""
