"Unnamed: 0","benchmark","config","gsizes","samples","devices","timeouts","notes"
"180","rodinia-3.1-bfs-BFS_1","","","","","",""
"182","rodinia-3.1-cfd-compute_flux","X","","","","","oclude can not compile/run this kernel"
"183","rodinia-3.1-cfd-compute_step_factor","X","","","","","oclude can not compile/run this kernel"
"189","rodinia-3.1-hotspot-hotspot","","","","","",""
"190","rodinia-3.1-kmeans-kmeans_kernel_c","","","","","",""
"191","rodinia-3.1-kmeans-kmeans_swap","","","","","",""
"192","rodinia-3.1-lavaMD-kernel_gpu_opencl","X","","","","","oclude can not compile/run this kernel"
"193","rodinia-3.1-leukocyte-GICOV_kernel","","","","","",""
"194","rodinia-3.1-leukocyte-IMGVF_kernel","X","","","","","oclude can not compile/run this kernel"
"196","rodinia-3.1-lud-lud_diagonal","","","","","",""
"197","rodinia-3.1-lud-lud_internal","","","","","",""
"198","rodinia-3.1-lud-lud_perimeter","","","","","",""
"200","rodinia-3.1-nw-nw_kernel1","X","","","","","oclude can not compile/run this kernel"
"201","rodinia-3.1-nw-nw_kernel2","X","","","","","oclude can not compile/run this kernel"
"203","rodinia-3.1-particlefilter-likelihood_kernel","X","","","","","oclude can not compile/run this kernel"
"204","rodinia-3.1-particlefilter-normalize_weights_kernel","X","","","","","oclude can not compile/run this kernel"
"205","rodinia-3.1-particlefilter-sum_kernel","X","","","","","oclude can not compile/run this kernel"
"208","rodinia-3.1-streamcluster-pgain_kernel","","","","","",""
"209","shoc-1.1.5-BFS-BFS_kernel_warp","","","","","",""
"211","shoc-1.1.5-FFT-fft1D_512","X","","","","","oclude can not compile/run this kernel"
"212","shoc-1.1.5-FFT-ifft1D_512","X","","","","","oclude can not compile/run this kernel"
"213","shoc-1.1.5-GEMM-sgemmNN","","","","","",""
"214","shoc-1.1.5-GEMM-sgemmNT","","","","","",""
"215","shoc-1.1.5-MD-compute_lj_force","","","","","",""
"216","shoc-1.1.5-MD5Hash-FindKeyWithDigest_Kernel","X","","","","","oclude can not compile/run this kernel"
"236","shoc-1.1.5-S3D-rdsmh_kernel","X","","","","","oclude can not compile/run this kernel"
"245","shoc-1.1.5-Scan-bottom_scan","X","","","","","oclude can not compile/run this kernel"
"247","shoc-1.1.5-Scan-top_scan","X","","","","","oclude can not compile/run this kernel"
"248","shoc-1.1.5-Sort-bottom_scan","X","","","","","oclude can not compile/run this kernel"
"250","shoc-1.1.5-Sort-top_scan","X","","","","","oclude can not compile/run this kernel"
"252","shoc-1.1.5-Spmv-spmv_csr_vector_kernel","","","","","",""
"253","shoc-1.1.5-Spmv-spmv_ellpackr_kernel","","","","","",""
"254","shoc-1.1.5-Stencil2D-CopyRect","X","","","","","oclude can not compile/run this kernel"
"255","shoc-1.1.5-Stencil2D-StencilKernel","X","","","","","oclude can not compile/run this kernel"
