"Unnamed: 0","benchmark","config","gsizes","samples","devices","timeouts","notes"
"84","npb-3.3-LU-rhsx","","","","","",""
"85","npb-3.3-LU-rhsy","","","","","",""
"86","npb-3.3-LU-rhsz","","","","","",""
"87","npb-3.3-LU-setbv1","X","","","","","oclude can not compile/run this kernel"
"88","npb-3.3-LU-setbv2","X","","","","","oclude can not compile/run this kernel"
"89","npb-3.3-LU-setbv3","X","","","","","oclude can not compile/run this kernel"
"90","npb-3.3-LU-setiv","X","","","","","oclude can not compile/run this kernel"
"91","npb-3.3-LU-ssor2","","","","","",""
"92","npb-3.3-LU-ssor3","","","","","",""
"93","npb-3.3-MG-kernel_comm3_1","","","","","",""
"94","npb-3.3-MG-kernel_comm3_2","","","","","",""
"95","npb-3.3-MG-kernel_comm3_3","","","","","",""
"96","npb-3.3-MG-kernel_interp_1","","","","","",""
"97","npb-3.3-MG-kernel_norm2u3","X","","","","","oclude can not compile/run this kernel"
"98","npb-3.3-MG-kernel_psinv","","","","","",""
"99","npb-3.3-MG-kernel_resid","","","","","",""
"100","npb-3.3-MG-kernel_rprj3","","","","","",""
"101","npb-3.3-MG-kernel_zero3","","","","","",""
"102","npb-3.3-MG-kernel_zran3_1","X","","","","","oclude can not compile/run this kernel"
"103","npb-3.3-MG-kernel_zran3_2","X","","","","","oclude can not compile/run this kernel"
"104","npb-3.3-MG-kernel_zran3_3","","","","","",""
"105","npb-3.3-SP-add","","","","","",""
"107","npb-3.3-SP-compute_rhs2","","","","","",""
"108","npb-3.3-SP-compute_rhs3","","","","","",""
"109","npb-3.3-SP-compute_rhs4","","","","","",""
"110","npb-3.3-SP-compute_rhs5","","","","","",""
"111","npb-3.3-SP-compute_rhs6","","","","","",""
"112","npb-3.3-SP-error_norm","X","","","","","oclude can not compile/run this kernel"
"113","npb-3.3-SP-exact_rhs1","","","","","",""
"114","npb-3.3-SP-exact_rhs2","X","","","","","oclude can not compile/run this kernel"
"115","npb-3.3-SP-exact_rhs3","X","","","","","oclude can not compile/run this kernel"
"116","npb-3.3-SP-exact_rhs4","X","","","","","oclude can not compile/run this kernel"
"117","npb-3.3-SP-exact_rhs5","","","","","",""
"118","npb-3.3-SP-initialize1","","","","","",""
"119","npb-3.3-SP-initialize2","X","","","","","oclude can not compile/run this kernel"
"120","npb-3.3-SP-initialize3","X","","","","","oclude can not compile/run this kernel"
"121","npb-3.3-SP-initialize4","X","","","","","oclude can not compile/run this kernel"
"122","npb-3.3-SP-initialize5","X","","","","","oclude can not compile/run this kernel"
"123","npb-3.3-SP-ninvr","","","","","",""
"124","npb-3.3-SP-pinvr","","","","","",""
"126","npb-3.3-SP-txinvr","","","","","",""
"127","npb-3.3-SP-tzetar","","","","","",""
"128","npb-3.3-SP-x_solve","","","","","",""
"129","npb-3.3-SP-y_solve","","","","","",""
"130","npb-3.3-SP-z_solve","","","","","",""
"132","nvidia-4.2-FDTD3d-FiniteDifferences","","","","","",""
"140","nvidia-4.2-MersenneTwister-BoxMuller","X","","","","","oclude can not compile/run this kernel"
"141","nvidia-4.2-MersenneTwister-MersenneTwister","","","","","",""
"143","parboil-0.2-bfs-BFS_kernel","","","","","",""
"144","parboil-0.2-cutcp-opencl_cutoff_potential_lattice","X","","","","","oclude can not compile/run this kernel"
"145","parboil-0.2-lbm-performStreamCollide_kernel","X","","","","","oclude can not compile/run this kernel"
"146","parboil-0.2-sad-larger_sad_calc_16","X","","","","","oclude can not compile/run this kernel"
"147","parboil-0.2-sad-larger_sad_calc_8","X","","","","","oclude can not compile/run this kernel"
"148","parboil-0.2-sad-mb_sad_calc","X","","","","","oclude can not compile/run this kernel"
"149","parboil-0.2-spmv-A","","","","","",""
"150","parboil-0.2-stencil-naive_kernel","","","","","",""
"153","polybench-gpu-1.0-2mm-mm2_kernel2","","","","","",""
"154","polybench-gpu-1.0-3DConvolution-Convolution3D_kernel","","","","","",""
"156","polybench-gpu-1.0-3mm-mm3_kernel2","","","","","",""
"162","polybench-gpu-1.0-correlation-corr_kernel","","","","","",""
"164","polybench-gpu-1.0-correlation-reduce_kernel","","","","","",""
"166","polybench-gpu-1.0-covariance-covar_kernel","","","","","",""
"168","polybench-gpu-1.0-covariance-reduce_kernel","","","","","",""
"172","polybench-gpu-1.0-gramschmidt-gramschmidt_kernel2","","","","","",""
"173","polybench-gpu-1.0-gramschmidt-gramschmidt_kernel3","","","","","",""
"178","rodinia-3.1-backprop-bpnn_adjust_weights_ocl","","","","","",""
"179","rodinia-3.1-backprop-bpnn_layerforward_ocl","","","","","",""
"180","rodinia-3.1-bfs-BFS_1","","","","","",""
"182","rodinia-3.1-cfd-compute_flux","X","","","","","oclude can not compile/run this kernel"
"183","rodinia-3.1-cfd-compute_step_factor","X","","","","","oclude can not compile/run this kernel"
"184","rodinia-3.1-cfd-initialize_variables","","","","","",""
"186","rodinia-3.1-cfd-time_step","","","","","",""
"187","rodinia-3.1-gaussian-Fan1","","","","","",""
"188","rodinia-3.1-gaussian-Fan2","","","","","",""
"190","rodinia-3.1-kmeans-kmeans_kernel_c","","","","","",""
"191","rodinia-3.1-kmeans-kmeans_swap","","","","","",""
"192","rodinia-3.1-lavaMD-kernel_gpu_opencl","X","","","","","oclude can not compile/run this kernel"
"193","rodinia-3.1-leukocyte-GICOV_kernel","","","","","",""
"194","rodinia-3.1-leukocyte-IMGVF_kernel","X","","","","","oclude can not compile/run this kernel"
"195","rodinia-3.1-leukocyte-dilate_kernel","","","","","",""
"196","rodinia-3.1-lud-lud_diagonal","","","","","",""
"197","rodinia-3.1-lud-lud_internal","","","","","",""
"198","rodinia-3.1-lud-lud_perimeter","","","","","",""
"200","rodinia-3.1-nw-nw_kernel1","X","","","","","oclude can not compile/run this kernel"
"201","rodinia-3.1-nw-nw_kernel2","X","","","","","oclude can not compile/run this kernel"
"203","rodinia-3.1-particlefilter-likelihood_kernel","X","","","","","oclude can not compile/run this kernel"
"204","rodinia-3.1-particlefilter-normalize_weights_kernel","X","","","","","oclude can not compile/run this kernel"
"205","rodinia-3.1-particlefilter-sum_kernel","X","","","","","oclude can not compile/run this kernel"
"208","rodinia-3.1-streamcluster-pgain_kernel","","","","","",""
"209","shoc-1.1.5-BFS-BFS_kernel_warp","","","","","",""
"211","shoc-1.1.5-FFT-fft1D_512","X","","","","","oclude can not compile/run this kernel"
"212","shoc-1.1.5-FFT-ifft1D_512","X","","","","","oclude can not compile/run this kernel"
"213","shoc-1.1.5-GEMM-sgemmNN","","","","","",""
"214","shoc-1.1.5-GEMM-sgemmNT","","","","","",""
"215","shoc-1.1.5-MD-compute_lj_force","","","","","",""
"216","shoc-1.1.5-MD5Hash-FindKeyWithDigest_Kernel","X","","","","","oclude can not compile/run this kernel"
"218","shoc-1.1.5-S3D-gr_base","","","","","",""
"219","shoc-1.1.5-S3D-qssa2_kernel","","","","","",""
"220","shoc-1.1.5-S3D-qssa_kernel","","","","","",""
"221","shoc-1.1.5-S3D-qssab_kernel","","","","","",""
"222","shoc-1.1.5-S3D-ratt10_kernel","","","","","",""
"223","shoc-1.1.5-S3D-ratt2_kernel","","","","","",""
"224","shoc-1.1.5-S3D-ratt3_kernel","","","","","",""
"225","shoc-1.1.5-S3D-ratt4_kernel","","","","","",""
"226","shoc-1.1.5-S3D-ratt5_kernel","","","","","",""
"227","shoc-1.1.5-S3D-ratt6_kernel","","","","","",""
"228","shoc-1.1.5-S3D-ratt7_kernel","","","","","",""
"229","shoc-1.1.5-S3D-ratt8_kernel","","","","","",""
"230","shoc-1.1.5-S3D-ratt9_kernel","","","","","",""
"231","shoc-1.1.5-S3D-ratt_kernel","","","","","",""
"232","shoc-1.1.5-S3D-ratx2_kernel","","","","","",""
"233","shoc-1.1.5-S3D-ratx4_kernel","","","","","",""
"234","shoc-1.1.5-S3D-ratx_kernel","","","","","",""
"235","shoc-1.1.5-S3D-ratxb_kernel","","","","","",""
"236","shoc-1.1.5-S3D-rdsmh_kernel","X","","","","","oclude can not compile/run this kernel"
"237","shoc-1.1.5-S3D-rdwdot10_kernel","","","","","",""
"238","shoc-1.1.5-S3D-rdwdot2_kernel","","","","","",""
"239","shoc-1.1.5-S3D-rdwdot3_kernel","","","","","",""
"240","shoc-1.1.5-S3D-rdwdot6_kernel","","","","","",""
"241","shoc-1.1.5-S3D-rdwdot7_kernel","","","","","",""
"242","shoc-1.1.5-S3D-rdwdot8_kernel","","","","","",""
"243","shoc-1.1.5-S3D-rdwdot9_kernel","","","","","",""
"245","shoc-1.1.5-Scan-bottom_scan","X","","","","","oclude can not compile/run this kernel"
"247","shoc-1.1.5-Scan-top_scan","X","","","","","oclude can not compile/run this kernel"
"248","shoc-1.1.5-Sort-bottom_scan","X","","","","","oclude can not compile/run this kernel"
"250","shoc-1.1.5-Sort-top_scan","X","","","","","oclude can not compile/run this kernel"
"251","shoc-1.1.5-Spmv-spmv_csr_scalar_kernel","","","","","",""
"252","shoc-1.1.5-Spmv-spmv_csr_vector_kernel","","","","","",""
"253","shoc-1.1.5-Spmv-spmv_ellpackr_kernel","","","","","",""
"254","shoc-1.1.5-Stencil2D-CopyRect","X","","","","","oclude can not compile/run this kernel"
"255","shoc-1.1.5-Stencil2D-StencilKernel","X","","","","","oclude can not compile/run this kernel"
